Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same_in_selected,ratio_opposite_in_selected,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,0.96(0.020),0.04(0.006),0.80(0.026),0.29(0.033),0.69(0.041),2.07(0.194),1.00(0.000),0.00(0.000),36.0(0.00),110.6(7.15),34.6(0.71),0.0(0.00),1.4(0.71)
QRLASSO,0.88(0.034),0.21(0.021),0.43(0.015),0.71(0.015),0.86(0.032),1.62(0.052),1.00(0.002),0.00(0.002),36.0(0.00),14.4(0.58),31.8(1.24),0.1(0.05),4.2(1.22)
BONDELL,1.00(0.000),0.94(0.006),0.07(0.004),0.92(0.000),1.40(0.036),2.50(0.054),1.00(0.000),0.00(0.000),36.0(0.00),1.1(0.04),36.0(0.00),0.0(0.00),0.0(0.00)
