Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same_in_selected,ratio_opposite_in_selected,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,1.00(0.000),0.01(0.001),0.92(0.008),0.14(0.014),0.17(0.012),0.48(0.028),1.00(0.000),0.00(0.000),36.0(0.00),1113.0(36.72),36.0(0.00),0.0(0.00),0.0(0.00)
QRLASSO,0.99(0.004),0.09(0.006),0.54(0.012),0.68(0.012),0.30(0.013),0.81(0.028),1.00(0.000),0.00(0.000),36.0(0.00),254.6(9.44),35.7(0.15),0.0(0.00),0.3(0.15)
BONDELL,1.00(0.000),0.82(0.008),0.09(0.002),0.95(0.000),0.50(0.019),1.32(0.019),1.00(0.000),0.00(0.000),36.0(0.00),83.2(4.88),36.0(0.00),0.0(0.00),0.0(0.00)
