Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same_in_selected,ratio_opposite_in_selected,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,1.00(0.000),0.01(0.001),0.91(0.009),0.16(0.017),0.23(0.013),0.72(0.047),1.00(0.000),0.00(0.000),36.0(0.00),469.6(17.37),36.0(0.00),0.0(0.00),0.0(0.00)
QRLASSO,0.97(0.009),0.16(0.018),0.43(0.023),0.77(0.020),0.48(0.011),1.35(0.030),1.00(0.000),0.00(0.000),36.0(0.00),80.2(3.32),35.0(0.33),0.0(0.00),1.1(0.33)
BONDELL,1.00(0.000),0.88(0.006),0.07(0.002),0.95(0.000),0.86(0.021),2.14(0.036),1.00(0.000),0.00(0.000),36.0(0.00),27.2(1.40),36.0(0.00),0.0(0.00),0.0(0.00)
