Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same_in_selected,ratio_opposite_in_selected,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,0.72(0.013),0.06(0.008),0.67(0.022),0.24(0.028),1.32(0.015),1.27(0.021),1.00(0.000),0.00(0.000),36.0(0.00),130.7(3.77),26.1(0.48),0.0(0.00),9.9(0.48)
QRLASSO,0.98(0.007),0.47(0.023),0.42(0.017),0.65(0.012),0.86(0.036),0.94(0.035),0.83(0.013),0.17(0.013),36.0(0.00),23.4(0.81),29.2(0.52),6.2(0.47),0.6(0.24)
BONDELL,1.00(0.000),0.89(0.013),0.15(0.012),0.78(0.003),0.86(0.026),0.96(0.028),1.00(0.000),0.00(0.000),36.0(0.00),1.0(0.03),36.0(0.00),0.0(0.00),0.0(0.00)
