Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same_in_selected,ratio_opposite_in_selected,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,0.72(0.018),0.01(0.001),0.77(0.020),0.16(0.029),0.59(0.006),1.20(0.014),1.00(0.000),0.00(0.000),36.0(0.00),1144.0(31.44),25.9(0.64),0.0(0.00),10.1(0.64)
QRLASSO,0.96(0.009),0.14(0.011),0.43(0.015),0.77(0.012),0.38(0.011),0.88(0.022),0.86(0.014),0.14(0.014),36.0(0.00),265.8(11.23),29.5(0.58),4.9(0.46),1.6(0.32)
BONDELL,1.00(0.000),0.86(0.009),0.08(0.003),0.95(0.000),0.60(0.010),1.37(0.020),1.00(0.000),0.00(0.000),36.0(0.00),89.5(5.48),36.0(0.00),0.0(0.00),0.0(0.00)
