Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same,ratio_opposite,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,0.99(0.006),0.03(0.004),0.93(0.008),0.10(0.012),0.49(0.034),0.66(0.038),0.99(0.006),0.00(0.000),36.0(0.00),125.7(3.87),35.8(0.20),0.0(0.00),0.2(0.20)
QRLASSO,0.99(0.004),0.40(0.018),0.48(0.013),0.61(0.010),0.78(0.029),0.94(0.034),0.99(0.004),0.00(0.000),36.0(0.00),21.9(0.58),35.7(0.15),0.0(0.00),0.3(0.15)
BONDELL,1.00(0.000),0.87(0.015),0.17(0.011),0.78(0.003),0.72(0.027),0.90(0.026),1.00(0.000),0.00(0.000),36.0(0.00),1.6(0.14),36.0(0.00),0.0(0.00),0.0(0.00)
