Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same_in_selected,ratio_opposite_in_selected,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,0.66(0.028),0.03(0.003),0.61(0.024),0.37(0.026),0.98(0.020),1.80(0.145),1.00(0.002),0.00(0.002),36.0(0.00),138.6(7.03),23.6(0.99),0.1(0.05),12.3(0.99)
QRLASSO,0.80(0.027),0.22(0.014),0.36(0.019),0.76(0.010),0.93(0.037),1.56(0.052),0.87(0.015),0.13(0.015),36.0(0.00),14.0(0.63),25.1(0.90),3.6(0.48),7.2(0.97)
BONDELL,1.00(0.000),0.96(0.008),0.06(0.006),0.92(0.001),1.58(0.045),2.44(0.072),1.00(0.000),0.00(0.000),36.0(0.00),1.2(0.03),36.0(0.00),0.0(0.00),0.0(0.00)
