Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same,ratio_opposite,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,1.00(0.000),0.01(0.002),0.93(0.008),0.13(0.014),0.28(0.017),0.61(0.034),1.00(0.000),0.00(0.000),36.0(0.00),255.7(9.77),36.0(0.00),0.0(0.00),0.0(0.00)
QRLASSO,0.98(0.006),0.30(0.019),0.40(0.015),0.76(0.013),0.62(0.020),1.15(0.034),0.98(0.006),0.00(0.000),36.0(0.00),39.4(1.36),35.2(0.20),0.0(0.00),0.8(0.20)
BONDELL,1.00(0.000),0.87(0.008),0.11(0.004),0.91(0.001),0.75(0.031),1.37(0.034),1.00(0.000),0.00(0.000),36.0(0.00),5.4(0.31),36.0(0.00),0.0(0.00),0.0(0.00)
