Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same,ratio_opposite,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,0.92(0.029),0.02(0.006),0.91(0.022),0.07(0.019),0.90(0.073),1.25(0.071),0.92(0.029),0.00(0.000),36.0(0.00),62.5(3.44),33.1(1.03),0.0(0.00),2.9(1.03)
QRLASSO,0.95(0.016),0.41(0.029),0.43(0.021),0.62(0.015),1.20(0.041),1.47(0.056),0.94(0.017),0.00(0.003),36.0(0.00),9.3(0.33),34.0(0.60),0.1(0.10),1.9(0.59)
BONDELL,1.00(0.000),0.91(0.013),0.13(0.012),0.78(0.002),1.20(0.054),1.49(0.052),1.00(0.000),0.00(0.000),36.0(0.00),0.2(0.01),36.0(0.00),0.0(0.00),0.0(0.00)
