Method,TPR,FPR,MCC,FDR,beta_RMSE,Q_RMSE,ratio_same_in_selected,ratio_opposite_in_selected,n_true,comp_time,n_same,n_opposite,n_zero
UNIQUE,0.71(0.015),0.01(0.001),0.69(0.018),0.29(0.024),0.61(0.009),1.28(0.020),1.00(0.003),0.00(0.003),36.0(0.00),619.5(13.82),25.4(0.54),0.1(0.07),10.5(0.55)
QRLASSO,0.84(0.018),0.18(0.015),0.33(0.008),0.82(0.008),0.53(0.010),1.24(0.030),0.86(0.009),0.14(0.009),36.0(0.00),95.2(2.95),25.9(0.46),4.4(0.34),5.7(0.66)
BONDELL,1.00(0.000),0.92(0.006),0.06(0.002),0.96(0.000),0.93(0.015),2.14(0.028),1.00(0.000),0.00(0.000),36.0(0.00),29.9(1.88),36.0(0.00),0.0(0.00),0.0(0.00)
