Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,25.3273714152744,26.3082713220476,26.3498498777586,28.137849558483,28.138572204733,28.2629791695058,28.308004166391,28.3750014379809,28.3751494382351,29.762857182381,29.7628892721478,29.7638267621478,31.3291029231567,31.3294560039198,31.3357799590087,31.3357799490087,31.33613182349
ess,0.0167045454545455,-0.112771428426107,0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
gds,-0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0
upsit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stai,-0.385161373954353,-0.105448142083822,0,-0,0,-0,0,0,0,3.2099766703777e-05,-0,0,-0,-0,-0,-0,-0
pigd,-0,-0,0,-0,-0,0,-0,0,0,-0,-0,0,-0,0,0,0,0
quip,0.00710020995077985,-0.04326171875,-0.000268554687522738,9.76562499999999e-05,-0,-0,-0.000397657261021325,0,-0,-0,0.000781250000000004,-0,-0,5.6562752538033e-07,0,-0,-0
rem,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
scopa,-0,-0,0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
updrs1_score,-1.04265755595079,-1.09288469389935,-0,-1.78539809066423,-1.33188309753453,-1.45629007230738,-1.37544795337261,-0,-0,-1.38162359784971,-1.12334705137468,-0,-1.56526362413886,-1.22969289989549,0,0,0
updrs2_score,-0,-0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,0,0
updrs3_score,-5.86265729840326e-19,-4.01632542360637e-13,0,-0,-0,-0,-0,0,0,-0,0,0,-0,0,0,0,0
APOE_e4,0.201888156903187,0.0109375,0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0
age,-4.06425309658137,-3.75193223178892,-3.08759164136005,-3.03188912332448,-3.02315329129317,-2.72120018563411,-2.48594951412383,-2.54162607411154,-2.30127676917499,-2.30092746327042,-2.14878191578039,-2.07050601499737,-1.99598905355275,-1.91559065647579,-1.60135501070528,-1.4808245746102,-1.36219772760412
SEX,-0.00171875,-0.00171875,0,-0,0,0.00033203125,-0.000311519490312549,-0,-0.00014801025390625,-0,-0,-0,0.00015625,-0,-0,-0,-0
fampd_bin,-0.0175,0.0233681743778288,0,-0.00161057692307622,-0.00111233449168367,0,0.0004638671875,0,0,-0.000112931331469355,0,-0,-1.25468700390741e-05,-0,-0,-0,-0
race_modified,0.039375,0.00727289133318209,0,-0.000949519230769056,-0.000941162109377274,-0.000528263708293366,0.0104016919868445,-0.000455162427689402,0,-0.000693814602544194,0,-0.00015625,-0,-4.8828125e-06,-0.00632828227386455,-0,-0.000308171147285066
handed_right,-0.050606689453125,-0.0131593075441197,0,0.000625,-0,0,-0,-0,-0,-0.00527741036211779,-0,-0,-0,-0.000191957950592041,-0,-0,-4.37133340790297e-05
handed_left,0.00875,0,0,-4.150390625e-05,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0.000665590598485437
