Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,24.8790725371783,24.9805569063811,27.072279974031,27.1379123852949,27.1193165423131,27.5245888677755,27.8258760226856,28.0211259076022,28.234603060026,28.2218933514953,28.7746475842938,29.1132373092403,29.5408113843932,29.3383957378486,29.5451480553796,29.9142031576961,30.1473793220001
ess,0,0.298562998565947,0,0,0.110683641560533,0.177725402367013,0.258241249174686,0.271220053122138,0.403629709394351,0.419598428840873,0.327059994389743,0.248010468867384,0.190040398698756,0.559242135688441,0.509076558530537,0.145066353938527,0
gds,-0.0136666447825052,0.0658863239292919,0,0,0.203892473317104,0.218387877760465,0,0,0.102719877694495,0,0,0,0,0,0,0,0
upsit,0.728441258206739,1.48895229794591,0.559900465989767,0.41904382185801,0.5060589332954,0.319047884493653,0.182294348831732,0.32732062526358,0.283279214533787,0.425427985662107,0.239796642320306,0.255838389115754,0.205797112050969,0.14702065973857,0,0,-0.00870720935472929
stai,-1.30506350312532,-1.539346823227,-0.969588919704904,-0.525624658358615,-0.269345820958981,-0.36398341477666,-0.089048652189495,-0.252541418009789,-0.334550916060388,-0.168471189071914,-0.0994044518767992,0,-0.0368234782756501,0,0,0,-0.031272442692555
pigd,-0.659896996163295,-3.35407211083179,0,-0.430923375699145,-0.157835739534847,-0.118327054613499,0,0,-0.816047623717502,-0.867957351643636,-1.3997378915291,-0.368172399055311,-0.307974273914368,0,0,0,0
quip,-0.175902479978361,-1.04632337226276,-0.103666032477162,-0.485811112541045,0,0,-0.597991937768185,-0.620378852810073,-1.07421971734968,-1.1089032184362,-1.0741868772354,-0.447519975544481,-0.44337137621664,0,0,0,0
rem,0,0.40163479352698,0,0,0,-0.0895917097175784,0,0,-0.0420775546346023,0,0,-0.07676431356046,-0.140666218708785,-0.126224521728988,-0.0590489756667015,-0.199356422674562,-0.138347654049648
scopa,0,0,0,0,0,0,0.121962395687505,0.391644046894161,1.36744950994685,0.952384938863461,0.948387160962036,0.0545742610077712,0,0,0,0,0
updrs1_score,-1.35720291471442,-1.52039630594326,-1.5040511892942,-0.4224033768632,-1.0824403766212,-0.698350618201055,-0.513180044159175,-0.950884748505727,-1.9771453697754,-1.87224548471874,-1.66517405602056,-1.20705873346762,-0.960003832687721,-1.45396910728816,-1.27691455950624,-0.815613632940784,-0.366042997599541
updrs2_score,0,1.5601120100726,0,0,0,0,0,0,0.68755916790875,0.334191465481711,0.545017103060958,0.165569837148545,0,0,0,0,0
updrs3_score,-0.870899963503329,-0.719510154003701,-1.14182068666374,-1.59547316943207,-1.46680765233996,-1.25769226939564,-1.38071553482164,-0.686763987842299,-1.34780312607331,-0.743164052391798,-0.670510981607575,-0.221857982832525,-0.324768930578396,-0.225852468552455,-0.0229235131704594,0,-0.118098315777106
APOE_e4,0.383366462229027,0.580545477191625,0.639527818700157,0.205322227803395,0.194398029298522,0.114623822362748,0.0329925414773241,0,0.113933639771181,0.014326488824576,-0.0299513386966821,0,-0.0189260215754869,-0.109128387388439,0,-0.059695299844644,0
age,-3.79848825075067,-4.6900003638754,-4.09002524971657,-3.99132807998572,-3.53056393534667,-3.3914094137214,-3.21188088457649,-3.21305320674526,-3.32874474879681,-3.11936788253858,-3.04184237616942,-2.55539331947557,-2.46135775752929,-2.51888774390911,-2.25497875819463,-1.98995771772857,-1.66522291559678
SEX,-0.302983940336177,-0.238541076125032,-0.0544514565954046,-0.26889910417194,-0.306200316220333,-0.414835437777441,-0.499474642906404,-0.481958204066303,-0.595284539054971,-0.58985720972757,-0.588679214995108,-0.41012423283692,-0.362105943886652,-0.332506470320694,-0.243059831686421,-0.184747406453832,-0.139000740374986
fampd_bin,0.906372875231549,1.2667555632118,0.735290255369475,0.736225749248922,0.643399070404991,0.497124289435705,0.513043768764527,0.505248739423128,0.48651974844451,0.511485872653174,0.36787767194654,0.384480542258868,0.374381473931437,0.427183079232568,0.369866797895722,0.312741569736609,0.162873394067703
race_modified,1.5721228780503,1.86488355415535,0.910111785641654,1.0725752647634,1.11331404043984,1.12702085958811,0.98214985479631,0.935297146721382,1.06859278659625,0.942722812476457,0.570505726144275,0.541513534177465,0.470137906751939,0.747196728938912,0.565731373515718,0.544783453414326,0.397188820994261
handed_right,-0.543550217843181,-0.581455719764492,-0.460043970333475,-0.103611662454258,0,0,0.186845002019391,0.106592947446396,0.362794217896602,0.489529070039096,0.636407590061185,0.0987230450348383,0.0181016300457865,0.239845378174601,0.278892185903422,0.0823740904248338,0.156803174642819
handed_left,0.55117958265114,0,0.0447528652869949,0.141820730287458,0.0611423278394702,0,0,0,0.346151798650122,0.389545451769488,0.52692520070525,0,0,0,0,-0.154146468813273,-0.0989516548286008
