Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,26.5300467564861,26.8162352103397,28.9226406158337,28.7687263136417,28.4871808541819,29.0027572452786,29.0866998093944,29.3339524102028,29.6815653428097,29.4432950692557,30.0727537420962,30.0825905705666,30.489890390316,30.2486101355741,30.3707355650629,30.6558312977385,30.8833586886524
ess,0,0.0142172856459975,0,0,0.00527064959812062,0.00846311439842917,0.0122972023416517,0.0129152406248637,0.019220462352112,0.0199808775638511,0.0155742854471306,0.0118100223270183,0.00904954279517884,0.0266305778899258,0.0242417408824065,0.00690792161612035,0
gds,-0.00091110965216701,0.00439242159528613,0,0,0.0135928315544736,0.0145591918506977,0,0,0.00684799184629966,0,0,0,0,0,0,0,0
upsit,0.01867798097966,0.0381782640498951,0.0143564222048658,0.0107447133809746,0.0129758700844974,0.00818071498701674,0.00467421407260851,0.00839283654522001,0.00726356960343044,0.010908409888772,0.00614863185436682,0.00655995869527573,0.00527684902694792,0.00376976050611718,0,0,-0.000223261778326392
stai,-0.0134542629188178,-0.0158695548786289,-0.00999576205881344,-0.00541881091091355,-0.00277676104081423,-0.00375240633790371,-0.000918027342159743,-0.0026035197732968,-0.00344897851608647,-0.00173681638218468,-0.00102478816367834,0,-0.000379623487377836,0,0,0,-0.000322396316418093
pigd,-0.253806536985883,-1.29002773493531,0,-0.165739759884287,-0.0607060536672489,-0.0455104056205766,0,0,-0.313864470660577,-0.333829750632168,-0.538360727511194,-0.141604768867427,-0.118451643813218,0,0,0,0
quip,-0.0351804959956722,-0.209264674452552,-0.0207332064954325,-0.097162222508209,0,0,-0.119598387553637,-0.124075770562015,-0.214843943469936,-0.221780643687241,-0.214837375447079,-0.0895039951088963,-0.0886742752433279,0,0,0,0
rem,0,0.03089498411746,0,0,0,-0.00689166997827526,0,0,-0.00323673497189249,0,0,-0.00590494719695846,-0.0108204783622142,-0.00970957859453757,-0.00454222889743857,-0.0153351094365048,-0.0106421272345883
scopa,0,0,0,0,0,0,0.00239141952328441,0.00767929503714041,0.026812735489154,0.0186742144875188,0.0185958266855301,0.00107008354917198,0,0,0,0,0
updrs1_score,-0.0452400971571475,-0.0506798768647754,-0.0501350396431401,-0.0140801125621067,-0.0360813458873733,-0.0232783539400352,-0.0171060014719725,-0.0316961582835242,-0.0659048456591801,-0.062408182823958,-0.0555058018673521,-0.0402352911155872,-0.0320001277562574,-0.0484656369096053,-0.0425638186502079,-0.0271871210980261,-0.012201433253318
updrs2_score,0,0.0600043080797154,0,0,0,0,0,0,0.0264445833811058,0.0128535179031427,0.0209621962715753,0.00636807065955943,0,0,0,0,0
updrs3_score,-0.0126217386014975,-0.010427683391358,-0.0165481258936774,-0.0231227995569865,-0.0212580819179704,-0.0182274241941397,-0.0200103700698788,-0.00995310127307679,-0.0195333786387437,-0.0107704935129246,-0.0097175504580808,-0.00321533308452934,-0.00470679609533908,-0.00327322418191964,-0.000332224828557382,0,-0.0017115697938711
APOE_e4,0.191683231114513,0.290272738595812,0.319763909350079,0.102661113901697,0.0971990146492611,0.0573119111813742,0.0164962707386621,0,0.0569668198855906,0.00716324441228798,-0.0149756693483411,0,-0.00946301078774345,-0.0545641936942194,0,-0.029847649922322,0
age,-0.0676679296951533,-0.0835497160825088,-0.0728614972007687,-0.0711032626870412,-0.0628950088536061,-0.0604160493927625,-0.0572178497179178,-0.0572387339773548,-0.0592997136663984,-0.0555697826700464,-0.0541887094197783,-0.0455228933383076,-0.0438477027428469,-0.0448725670616831,-0.0401711770579844,-0.0354499764249563,-0.0296650087458063
SEX,-0.302983940336177,-0.238541076125032,-0.0544514565954046,-0.26889910417194,-0.306200316220333,-0.414835437777441,-0.499474642906404,-0.481958204066303,-0.595284539054971,-0.58985720972757,-0.588679214995108,-0.41012423283692,-0.362105943886652,-0.332506470320694,-0.243059831686421,-0.184747406453832,-0.139000740374986
fampd_bin,0.906372875231549,1.2667555632118,0.735290255369475,0.736225749248922,0.643399070404991,0.497124289435705,0.513043768764527,0.505248739423128,0.48651974844451,0.511485872653174,0.36787767194654,0.384480542258868,0.374381473931437,0.427183079232568,0.369866797895722,0.312741569736609,0.162873394067703
race_modified,1.5721228780503,1.86488355415535,0.910111785641654,1.0725752647634,1.11331404043984,1.12702085958811,0.98214985479631,0.935297146721382,1.06859278659625,0.942722812476457,0.570505726144275,0.541513534177465,0.470137906751939,0.747196728938912,0.565731373515718,0.544783453414326,0.397188820994261
handed_right,-0.543550217843181,-0.581455719764492,-0.460043970333475,-0.103611662454258,0,0,0.186845002019391,0.106592947446396,0.362794217896602,0.489529070039096,0.636407590061185,0.0987230450348383,0.0181016300457865,0.239845378174601,0.278892185903422,0.0823740904248338,0.156803174642819
handed_left,0.55117958265114,0,0.0447528652869949,0.141820730287458,0.0611423278394702,0,0,0,0.346151798650122,0.389545451769488,0.52692520070525,0,0,0,0,-0.154146468813273,-0.0989516548286008
