Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,27.6571261793029,28.3163305121301,27.9857957442531,29.7458922854773,29.7414880499025,29.704794251513,29.6247089226272,29.7216700240785,29.5944700788796,30.9820924392539,30.9014112340645,30.860874607275,32.3866808546413,32.3444226770957,32.1842503575746,32.1203878645716,32.0578858637492
ess,0.00079545454545455,-0.00537006802029083,0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
gds,-0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0
upsit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stai,-0.0039707358139624,-0.00108709424828682,0,-0,0,-0,0,0,0,3.30925429935845e-07,-0,0,-0,-0,-0,-0,-0
pigd,-0,-0,0,-0,-0,0,-0,0,0,-0,-0,0,-0,0,0,0,0
quip,0.00142004199015597,-0.00865234375000001,-5.37109375045475e-05,1.953125e-05,-0,-0,-7.95314522042649e-05,0,-0,-0,0.000156250000000001,-0,-0,1.13125505076066e-07,0,-0,-0
rem,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
scopa,-0,-0,0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
updrs1_score,-0.0347552518650264,-0.0364294897966451,-0,-0.0595132696888077,-0.0443961032511511,-0.048543002410246,-0.0458482651124202,-0,-0,-0.0460541199283238,-0.0374449017124894,-0,-0.0521754541379621,-0.0409897633298497,0,0,0
updrs2_score,-0,-0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,0,0
updrs3_score,-8.49660478029458e-21,-5.82076148348749e-15,0,-0,-0,-0,-0,0,0,-0,0,0,-0,0,0,0,0
APOE_e4,0.100944078451593,0.00546875,0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0
age,-0.0724023808020011,-0.0668385604276909,-0.0550037068229987,-0.0540113978238781,-0.0538557738943827,-0.0484766493121407,-0.0442857910417883,-0.0452776376129002,-0.040995950058513,-0.040989727370477,-0.0382793400976057,-0.0368848989933156,-0.0355574212771123,-0.0341251690962791,-0.0285272379768377,-0.0263800561146334,-0.0242667856203575
SEX,-0.00171875,-0.00171875,0,-0,0,0.00033203125,-0.000311519490312549,-0,-0.00014801025390625,-0,-0,-0,0.00015625,-0,-0,-0,-0
fampd_bin,-0.0175,0.0233681743778288,0,-0.00161057692307622,-0.00111233449168367,0,0.0004638671875,0,0,-0.000112931331469355,0,-0,-1.25468700390741e-05,-0,-0,-0,-0
race_modified,0.039375,0.00727289133318209,0,-0.000949519230769056,-0.000941162109377274,-0.000528263708293366,0.0104016919868445,-0.000455162427689402,0,-0.000693814602544194,0,-0.00015625,-0,-4.8828125e-06,-0.00632828227386455,-0,-0.000308171147285066
handed_right,-0.050606689453125,-0.0131593075441197,0,0.000625,-0,0,-0,-0,-0,-0.00527741036211779,-0,-0,-0,-0.000191957950592041,-0,-0,-4.37133340790297e-05
handed_left,0.00875,0,0,-4.150390625e-05,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0.000665590598485437
