"Variable","tau=0.1","tau=0.15","tau=0.2","tau=0.25","tau=0.3","tau=0.35","tau=0.4","tau=0.45","tau=0.5","tau=0.55","tau=0.6","tau=0.65","tau=0.7","tau=0.75","tau=0.8","tau=0.85","tau=0.9"
"intercept","8.816 (-3.859, 9.454)","11.550 (0.973, 12.760)","13.705 (5.803, 15.295)","15.110 (9.070, 17.153)","15.978 (11.877, 19.172)","17.326 (13.892, 20.928)","18.504 (15.606, 22.655)","19.208 (17.114, 24.431)","19.933 (18.893, 26.524)","21.085 (21.073, 29.321)","21.684 (22.253, 30.786)","22.294 (23.269, 32.591)","23.287 (25.021, 35.085)","25.067 (26.502, 36.590)","26.842 (28.030, 40.768)","27.985 (29.984, 43.455)","29.243 (31.982, 47.381)"
"HVLTRDLY","2.575 (0.000, 6.390)","3.230 (0.000, 5.464)","3.228 (0.000, 5.256)","2.733 (0.000, 4.439)","2.349 (0.000, 4.270)","2.588 (0.002, 4.381)","2.768 (0.005, 4.350)","2.695 (0.016, 4.157)","2.530 (0.059, 4.340)","2.256 (0.075, 4.026)","2.328 (0.075, 3.386)","2.371 (0.128, 3.347)","2.371 (0.254, 3.223)","2.306 (0.149, 3.180)","2.448 (0.114, 3.162)","2.094 (0.097, 2.665)","1.769 (0.072, 2.292)"
"hvlt_discrimination","0.398 (0.000, 8.323)","0.074 (0.000, 2.759)","0.388 (0.000, 1.538)","0.588 (0.000, 1.302)","0.540 (0.000, 1.545)","0.466 (0.000, 1.646)","0.533 (0.000, 1.454)","0.476 (0.000, 1.197)","0.481 (0.000, 0.879)","0.630 (0.000, 0.979)","0.730 (0.000, 0.964)","0.809 (0.000, 1.062)","0.167 (0.000, 0.925)","0.234 (0.000, 0.837)","0.000 (0.000, 0.684)","0.000 (0.000, 0.804)","0.019 (0.000, 0.734)"
"HVLTREC","3.085 (0.000, 9.382)","2.212 (0.000, 7.649)","1.093 (0.000, 6.542)","0.184 (0.000, 5.860)","0.605 (0.000, 5.525)","0.492 (0.000, 5.438)","0.512 (0.000, 5.404)","0.899 (0.000, 5.617)","1.177 (0.000, 5.780)","1.220 (0.000, 5.533)","1.235 (0.000, 5.443)","1.245 (0.000, 5.499)","1.716 (0.000, 5.544)","0.628 (0.000, 5.143)","0.859 (0.000, 4.134)","0.852 (0.000, 4.388)","0.538 (0.000, 3.687)"
"VLTANIM","1.200 (0.000, 2.548)","1.490 (0.000, 2.621)","1.784 (0.000, 2.701)","2.194 (0.000, 2.897)","2.075 (0.000, 2.897)","2.026 (0.000, 3.013)","1.875 (0.000, 3.025)","1.874 (0.000, 3.062)","1.974 (0.000, 3.065)","1.649 (0.000, 2.942)","1.433 (0.000, 2.550)","1.346 (0.000, 2.412)","1.339 (0.000, 2.363)","1.302 (0.000, 2.386)","1.444 (0.000, 2.272)","1.173 (0.000, 1.995)","0.836 (0.000, 1.680)"
"SDMTOTAL","4.132 (0.000, 5.389)","3.660 (0.546, 5.479)","3.350 (0.808, 5.130)","3.751 (0.895, 4.873)","3.781 (0.982, 4.701)","3.603 (0.930, 4.583)","2.976 (0.927, 4.061)","2.860 (0.839, 3.686)","2.653 (0.544, 3.585)","2.523 (0.203, 3.271)","2.232 (0.143, 3.031)","2.206 (0.132, 2.764)","2.025 (0.131, 2.595)","1.787 (0.107, 2.354)","1.063 (0.097, 2.241)","0.948 (0.092, 2.055)","0.864 (0.094, 2.207)"
"bjlot","2.642 (0.000, 3.535)","1.580 (0.000, 2.882)","1.236 (0.000, 2.814)","1.487 (0.000, 2.761)","1.632 (0.000, 2.695)","1.659 (0.000, 2.662)","1.307 (0.000, 2.468)","1.062 (0.000, 2.246)","1.240 (0.000, 2.030)","0.914 (0.000, 1.923)","0.821 (0.000, 1.773)","0.324 (0.000, 1.658)","0.558 (0.000, 1.609)","0.707 (0.000, 1.581)","0.000 (0.000, 1.474)","0.654 (0.000, 1.612)","0.458 (0.000, 1.513)"
"lns","4.200 (0.000, 5.668)","4.275 (1.165, 5.483)","3.894 (1.485, 4.999)","4.223 (1.488, 4.724)","3.910 (1.367, 4.190)","2.977 (1.271, 3.558)","2.929 (0.993, 3.287)","2.718 (0.808, 3.115)","2.365 (0.739, 2.990)","2.267 (0.795, 2.958)","2.277 (0.798, 2.992)","2.278 (0.842, 2.870)","2.115 (0.694, 2.689)","1.764 (0.418, 2.446)","1.654 (0.304, 2.379)","1.257 (0.295, 2.238)","1.571 (0.000, 2.324)"
