"Variable","tau=0.1","tau=0.15","tau=0.2","tau=0.25","tau=0.3","tau=0.35","tau=0.4","tau=0.45","tau=0.5","tau=0.55","tau=0.6","tau=0.65","tau=0.7","tau=0.75","tau=0.8","tau=0.85","tau=0.9"
"intercept","8.1746 (-4.5343, 8.6949)","10.9981 (0.3390, 12.2039)","13.2063 (4.2495, 15.1858)","14.5442 (7.7468, 17.2102)","15.4199 (10.3664, 19.0261)","16.8231 (12.3336, 20.8501)","18.0645 (14.0884, 22.3422)","18.8027 (15.6683, 24.4283)","19.5410 (17.8446, 26.6440)","20.7356 (20.0452, 28.7690)","21.3610 (21.4959, 30.6032)","22.0106 (22.5945, 32.7531)","23.0038 (24.4207, 34.9569)","24.8040 (25.7707, 36.6455)","26.6691 (27.3304, 40.4648)","27.7979 (29.3387, 42.9793)","29.0667 (31.3975, 47.1500)"
"HVLTRDLY","0.2146 (0.0000, 0.5325)","0.2692 (0.0000, 0.4553)","0.2690 (0.0000, 0.4380)","0.2278 (0.0000, 0.3699)","0.1957 (0.0000, 0.3559)","0.2157 (0.0002, 0.3650)","0.2307 (0.0004, 0.3625)","0.2246 (0.0013, 0.3464)","0.2108 (0.0049, 0.3617)","0.1880 (0.0063, 0.3355)","0.1940 (0.0063, 0.2821)","0.1976 (0.0107, 0.2789)","0.1976 (0.0212, 0.2686)","0.1922 (0.0124, 0.2650)","0.2040 (0.0095, 0.2635)","0.1745 (0.0081, 0.2221)","0.1474 (0.0060, 0.1910)"
"hvlt_discrimination","0.0332 (0.0000, 0.6936)","0.0061 (0.0000, 0.2300)","0.0323 (0.0000, 0.1281)","0.0490 (0.0000, 0.1085)","0.0450 (0.0000, 0.1288)","0.0388 (0.0000, 0.1372)","0.0444 (0.0000, 0.1212)","0.0397 (0.0000, 0.0997)","0.0400 (0.0000, 0.0732)","0.0525 (0.0000, 0.0816)","0.0608 (0.0000, 0.0804)","0.0674 (0.0000, 0.0885)","0.0140 (0.0000, 0.0771)","0.0195 (0.0000, 0.0697)","0.0000 (0.0000, 0.0570)","0.0000 (0.0000, 0.0670)","0.0016 (0.0000, 0.0611)"
"HVLTREC","0.2571 (0.0000, 0.8210)","0.1843 (0.0000, 0.6580)","0.0911 (0.0000, 0.5562)","0.0153 (0.0000, 0.5008)","0.0504 (0.0000, 0.4736)","0.0410 (0.0000, 0.4735)","0.0427 (0.0000, 0.4654)","0.0749 (0.0000, 0.4776)","0.0981 (0.0000, 0.5024)","0.1017 (0.0000, 0.4628)","0.1029 (0.0000, 0.4564)","0.1038 (0.0000, 0.4756)","0.1430 (0.0000, 0.4620)","0.0523 (0.0000, 0.4332)","0.0716 (0.0000, 0.3696)","0.0710 (0.0000, 0.3929)","0.0448 (0.0000, 0.3316)"
"VLTANIM","0.0300 (0.0000, 0.0642)","0.0372 (0.0000, 0.0670)","0.0446 (0.0000, 0.0738)","0.0548 (0.0000, 0.0765)","0.0519 (0.0000, 0.0753)","0.0506 (0.0000, 0.0798)","0.0469 (0.0000, 0.0792)","0.0468 (0.0000, 0.0800)","0.0493 (0.0000, 0.0810)","0.0412 (0.0000, 0.0743)","0.0358 (0.0000, 0.0663)","0.0337 (0.0000, 0.0623)","0.0335 (0.0000, 0.0622)","0.0325 (0.0000, 0.0631)","0.0361 (0.0000, 0.0584)","0.0293 (0.0000, 0.0518)","0.0209 (0.0000, 0.0437)"
"SDMTOTAL","0.0530 (0.0000, 0.0744)","0.0469 (0.0070, 0.0737)","0.0430 (0.0105, 0.0701)","0.0481 (0.0121, 0.0655)","0.0485 (0.0126, 0.0645)","0.0462 (0.0121, 0.0605)","0.0382 (0.0126, 0.0554)","0.0367 (0.0111, 0.0491)","0.0340 (0.0070, 0.0466)","0.0323 (0.0026, 0.0434)","0.0286 (0.0019, 0.0408)","0.0283 (0.0017, 0.0373)","0.0260 (0.0017, 0.0349)","0.0229 (0.0014, 0.0320)","0.0136 (0.0013, 0.0296)","0.0122 (0.0012, 0.0278)","0.0111 (0.0013, 0.0294)"
"bjlot","0.1887 (0.0000, 0.2525)","0.1128 (0.0000, 0.2069)","0.0883 (0.0000, 0.2110)","0.1062 (0.0000, 0.2102)","0.1166 (0.0000, 0.2071)","0.1185 (0.0000, 0.1996)","0.0934 (0.0000, 0.1816)","0.0759 (0.0000, 0.1633)","0.0886 (0.0000, 0.1495)","0.0653 (0.0000, 0.1420)","0.0587 (0.0000, 0.1289)","0.0231 (0.0000, 0.1238)","0.0399 (0.0000, 0.1184)","0.0505 (0.0000, 0.1147)","0.0000 (0.0000, 0.1085)","0.0467 (0.0000, 0.1169)","0.0327 (0.0000, 0.1121)"
"lns","0.2100 (0.0000, 0.2913)","0.2137 (0.0613, 0.2815)","0.1947 (0.0806, 0.2591)","0.2112 (0.0784, 0.2397)","0.1955 (0.0720, 0.2174)","0.1489 (0.0635, 0.1848)","0.1465 (0.0514, 0.1694)","0.1359 (0.0425, 0.1632)","0.1182 (0.0379, 0.1539)","0.1134 (0.0397, 0.1556)","0.1138 (0.0431, 0.1513)","0.1139 (0.0443, 0.1483)","0.1058 (0.0365, 0.1375)","0.0882 (0.0209, 0.1287)","0.0827 (0.0169, 0.1224)","0.0629 (0.0154, 0.1163)","0.0786 (0.0000, 0.1199)"
