Method,RMSE,MAE,MeanPinballLoss,PropSignMatch,PropSignReversed,NumSelected,CompTime
UNIQUE,2.30332703501112,1.7321399082473,0.876100792504942,1,0,6,551.1331988
QRLASSO,2.17728302520376,1.66410612075063,0.655972246765997,0.768817204301075,0.043010752688172,24,140.7369803
BONDELL,2.15198298261763,1.63214927971995,0.648097240978534,0.631229235880399,0.0830564784053156,27,56.3861271
