"Variable","tau=0.1","tau=0.15","tau=0.2","tau=0.25","tau=0.3","tau=0.35","tau=0.4","tau=0.45","tau=0.5","tau=0.55","tau=0.6","tau=0.65","tau=0.7","tau=0.75","tau=0.8","tau=0.85","tau=0.9"
"intercept","8.1746 (-3.7990, 7.7006)","10.9981 (1.8308, 11.5845)","13.2063 (5.5162, 14.4580)","14.5442 (8.6084, 16.5651)","15.4199 (11.3445, 18.2968)","16.8231 (12.9597, 20.2551)","18.0645 (14.9320, 21.7836)","18.8027 (16.4692, 23.6090)","19.5410 (18.5655, 25.8259)","20.7356 (20.5509, 27.9479)","21.3610 (22.1008, 29.8818)","22.0106 (23.9161, 31.6192)","23.0038 (25.2327, 33.8427)","24.8040 (26.6765, 35.3507)","26.6691 (28.4808, 38.7525)","27.7979 (30.0969, 41.7467)","29.0667 (32.5954, 45.3910)"
"HVLTRDLY","0.2146 (0.0000, 0.4596)","0.2692 (0.0000, 0.3981)","0.2690 (0.0000, 0.3908)","0.2278 (0.0001, 0.3358)","0.1957 (0.0001, 0.3066)","0.2157 (0.0004, 0.3290)","0.2307 (0.0022, 0.3322)","0.2246 (0.0058, 0.3330)","0.2108 (0.0140, 0.3360)","0.1880 (0.0293, 0.3214)","0.1940 (0.0378, 0.2726)","0.1976 (0.0552, 0.2697)","0.1976 (0.0483, 0.2654)","0.1922 (0.0299, 0.2631)","0.2040 (0.0141, 0.2618)","0.1745 (0.0094, 0.1973)","0.1474 (0.0072, 0.1730)"
"hvlt_discrimination","0.0332 (0.0000, 0.5370)","0.0061 (0.0000, 0.1245)","0.0323 (0.0000, 0.0805)","0.0490 (0.0000, 0.0773)","0.0450 (0.0000, 0.0945)","0.0388 (0.0000, 0.0966)","0.0444 (0.0000, 0.0744)","0.0397 (0.0000, 0.0638)","0.0400 (0.0000, 0.0594)","0.0525 (0.0000, 0.0629)","0.0608 (0.0000, 0.0648)","0.0674 (0.0000, 0.0631)","0.0140 (0.0000, 0.0617)","0.0195 (0.0000, 0.0554)","0.0000 (0.0000, 0.0398)","0.0000 (0.0000, 0.0367)","0.0016 (0.0000, 0.0509)"
"HVLTREC","0.2571 (0.0000, 0.7165)","0.1843 (0.0000, 0.5836)","0.0911 (0.0001, 0.4791)","0.0153 (0.0001, 0.4470)","0.0504 (0.0001, 0.4284)","0.0410 (0.0003, 0.4256)","0.0427 (0.0005, 0.4217)","0.0749 (0.0016, 0.4329)","0.0981 (0.0073, 0.4465)","0.1017 (0.0194, 0.4474)","0.1029 (0.0372, 0.4471)","0.1038 (0.0178, 0.4407)","0.1430 (0.0109, 0.4359)","0.0523 (0.0081, 0.4264)","0.0716 (0.0000, 0.3325)","0.0710 (0.0000, 0.3315)","0.0448 (0.0035, 0.3080)"
"VLTANIM","0.0300 (0.0000, 0.0600)","0.0372 (0.0000, 0.0585)","0.0446 (0.0000, 0.0655)","0.0548 (0.0000, 0.0721)","0.0519 (0.0000, 0.0721)","0.0506 (0.0001, 0.0736)","0.0469 (0.0015, 0.0741)","0.0468 (0.0011, 0.0732)","0.0493 (0.0001, 0.0709)","0.0412 (0.0005, 0.0690)","0.0358 (0.0007, 0.0631)","0.0337 (0.0009, 0.0595)","0.0335 (0.0011, 0.0578)","0.0325 (0.0000, 0.0590)","0.0361 (0.0000, 0.0560)","0.0293 (0.0000, 0.0501)","0.0209 (0.0000, 0.0384)"
"SDMTOTAL","0.0530 (0.0068, 0.0690)","0.0469 (0.0139, 0.0648)","0.0430 (0.0149, 0.0622)","0.0481 (0.0166, 0.0605)","0.0485 (0.0174, 0.0580)","0.0462 (0.0173, 0.0555)","0.0382 (0.0164, 0.0507)","0.0367 (0.0137, 0.0462)","0.0340 (0.0105, 0.0432)","0.0323 (0.0064, 0.0411)","0.0286 (0.0043, 0.0378)","0.0283 (0.0039, 0.0341)","0.0260 (0.0029, 0.0318)","0.0229 (0.0018, 0.0289)","0.0136 (0.0015, 0.0274)","0.0122 (0.0015, 0.0258)","0.0111 (0.0018, 0.0264)"
"bjlot","0.1887 (0.0000, 0.2301)","0.1128 (0.0000, 0.1912)","0.0883 (0.0000, 0.1901)","0.1062 (0.0000, 0.1950)","0.1166 (0.0000, 0.1875)","0.1185 (0.0000, 0.1832)","0.0934 (0.0000, 0.1682)","0.0759 (0.0000, 0.1511)","0.0886 (0.0000, 0.1401)","0.0653 (0.0000, 0.1319)","0.0587 (0.0000, 0.1156)","0.0231 (0.0000, 0.1065)","0.0399 (0.0000, 0.1064)","0.0505 (0.0000, 0.1037)","0.0000 (0.0000, 0.1014)","0.0467 (0.0000, 0.1095)","0.0327 (0.0000, 0.1016)"
"lns","0.2100 (0.0935, 0.2790)","0.2137 (0.1008, 0.2714)","0.1947 (0.0949, 0.2504)","0.2112 (0.0920, 0.2308)","0.1955 (0.0862, 0.2049)","0.1489 (0.0781, 0.1747)","0.1465 (0.0622, 0.1619)","0.1359 (0.0530, 0.1498)","0.1182 (0.0499, 0.1446)","0.1134 (0.0493, 0.1432)","0.1138 (0.0518, 0.1450)","0.1139 (0.0530, 0.1396)","0.1058 (0.0451, 0.1314)","0.0882 (0.0288, 0.1186)","0.0827 (0.0290, 0.1157)","0.0629 (0.0217, 0.1114)","0.0786 (0.0000, 0.1103)"
